,0
0,10.0
1,-1.6320000000000139
2,0.0
3,-14.364
4,0.0
5,-129.27600000000166
6,-8.628166150854817e-32
7,-1.631999999999996
8,0.0
9,-14.364
10,0.0
11,129.27599999999998
12,-8.628166150854817e-32
13,-1.6320000000000192
14,0.0
15,14.364000000000184
16,0.0
17,-129.27600000000166
18,-8.628166150854817e-32
19,-1.6320000000000012
20,0.0
21,14.364000000000184
22,0.0
23,129.27599999999998
